NAICS Code,Industry,Emission Factor (Without Margins)_USD,Emission Factor (Without Margins)_CO2e,Material Type,Weight (kg),Emission Factor per kg (CO2e),Predicted Production Emissions,Logistics Emissions,Total Emissions,Transport Mode
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,air
